open_time,open,high,low,close,volume,spread,real_volume
2020-07-01 00:00:00,1.12347,1.12749,1.11847,1.1252,45906,0,0
2020-07-02 00:00:00,1.1252,1.13025,1.12231,1.12413,45213,0,0
2020-07-03 00:00:00,1.12415,1.12524,1.12192,1.12482,38887,0,0
2020-07-05 00:00:00,1.1243,1.12463,1.12406,1.12449,891,0,0
2020-07-06 00:00:00,1.12452,1.13455,1.12443,1.13104,43777,0,0
2020-07-07 00:00:00,1.13104,1.13323,1.12587,1.12739,46988,0,0
2020-07-08 00:00:00,1.12737,1.13515,1.12621,1.13322,46349,0,0
2020-07-09 00:00:00,1.13322,1.13706,1.12801,1.12873,53365,0,0
2020-07-10 00:00:00,1.1287,1.13247,1.12548,1.12965,42771,0,0
2020-07-12 00:00:00,1.13015,1.13156,1.13015,1.13156,1368,0,0
2020-07-13 00:00:00,1.13156,1.13748,1.13008,1.13447,46219,0,0
2020-07-14 00:00:00,1.13448,1.14121,1.1325,1.14086,54251,0,0
2020-07-15 00:00:00,1.14086,1.14518,1.1391,1.14115,45641,0,0
2020-07-16 00:00:00,1.1412,1.14419,1.13703,1.13845,48484,0,0
2020-07-17 00:00:00,1.13846,1.14437,1.13774,1.14258,34795,0,0
2020-07-19 00:00:00,1.14042,1.14429,1.14042,1.14354,2288,0,0
2020-07-20 00:00:00,1.14357,1.14676,1.14021,1.14461,45456,0,0
2020-07-21 00:00:00,1.14462,1.15396,1.14227,1.1532,51048,0,0
2020-07-22 00:00:00,1.15324,1.16009,1.15066,1.15697,57609,0,0
2020-07-23 00:00:00,1.15697,1.16266,1.15402,1.16024,54812,0,0
2020-07-24 00:00:00,1.16023,1.16576,1.15813,1.16549,52314,0,0
2020-07-26 00:00:00,1.16431,1.16553,1.16412,1.16526,1918,0,0
2020-07-27 00:00:00,1.16524,1.17811,1.16422,1.17631,59507,0,0
2020-07-28 00:00:00,1.17631,1.17735,1.16986,1.17198,58585,0,0
2020-07-29 00:00:00,1.17198,1.18059,1.1714,1.17897,57650,0,0
2020-07-30 00:00:00,1.17897,1.18484,1.17307,1.18478,62959,0,0
2020-07-31 00:00:00,1.1848,1.19086,1.17613,1.17713,73603,0,0
2020-08-02 00:00:00,1.17697,1.17963,1.1768,1.17942,1786,0,0
2020-08-03 00:00:00,1.17945,1.17966,1.16957,1.17602,57242,0,0
2020-08-04 00:00:00,1.17603,1.1806,1.17212,1.17978,54916,0,0
2020-08-05 00:00:00,1.17978,1.19047,1.17942,1.18725,54407,0,0
2020-08-06 00:00:00,1.18725,1.1916,1.18178,1.18812,64108,0,0
2020-08-07 00:00:00,1.18814,1.18818,1.1755,1.17854,60461,0,0
2020-08-09 00:00:00,1.17864,1.17892,1.17733,1.17759,1251,0,0
2020-08-10 00:00:00,1.17761,1.18006,1.17357,1.17413,42538,0,0
2020-08-11 00:00:00,1.1741,1.18074,1.1722,1.17431,59410,0,0
2020-08-12 00:00:00,1.17433,1.18165,1.17109,1.17875,58101,0,0
2020-08-13 00:00:00,1.17874,1.1864,1.17853,1.18173,52688,0,0
2020-08-14 00:00:00,1.18172,1.18503,1.17814,1.18413,41060,0,0
2020-08-16 00:00:00,1.18377,1.18455,1.18285,1.18414,1070,0,0
2020-08-17 00:00:00,1.18414,1.1881,1.18286,1.18725,40162,0,0
2020-08-18 00:00:00,1.18725,1.19656,1.18711,1.19393,50745,0,0
2020-08-19 00:00:00,1.19393,1.19526,1.18301,1.18513,55769,0,0
2020-08-20 00:00:00,1.18513,1.18685,1.1802,1.18651,57245,0,0
2020-08-21 00:00:00,1.18651,1.18827,1.17542,1.17964,51641,0,0
2020-08-23 00:00:00,1.17929,1.18018,1.17888,1.18009,1383,0,0
2020-08-24 00:00:00,1.18016,1.18496,1.17841,1.17937,42500,0,0
2020-08-25 00:00:00,1.17939,1.18436,1.1784,1.18332,47401,0,0
2020-08-26 00:00:00,1.18332,1.18391,1.17721,1.18363,44683,0,0
2020-08-27 00:00:00,1.18363,1.19013,1.17621,1.18183,66310,0,0
2020-08-28 00:00:00,1.18184,1.19196,1.1811,1.19055,61165,0,0
2020-08-30 00:00:00,1.19036,1.19134,1.18992,1.19082,2059,0,0
2020-08-31 00:00:00,1.19084,1.1966,1.18839,1.1937,49146,0,0
2020-09-01 00:00:00,1.1937,1.20108,1.19011,1.19176,58884,0,0
2020-09-02 00:00:00,1.19179,1.19285,1.1822,1.18533,53732,0,0
2020-09-03 00:00:00,1.18535,1.18645,1.17887,1.1846,57511,0,0
2020-09-04 00:00:00,1.18462,1.18652,1.17808,1.18394,57060,0,0
2020-09-06 00:00:00,1.18458,1.18467,1.1834,1.18403,1392,0,0
2020-09-07 00:00:00,1.18403,1.18485,1.18111,1.18158,31326,0,0
2020-09-08 00:00:00,1.18158,1.18273,1.17567,1.17667,57634,0,0
2020-09-09 00:00:00,1.17667,1.18337,1.17528,1.18089,49810,0,0
2020-09-10 00:00:00,1.18088,1.19174,1.18004,1.18269,60707,0,0
2020-09-11 00:00:00,1.18269,1.18739,1.18221,1.18459,44531,0,0
2020-09-13 00:00:00,1.18362,1.18473,1.18352,1.18452,1001,0,0
2020-09-14 00:00:00,1.18455,1.1888,1.18321,1.18676,37768,0,0
2020-09-15 00:00:00,1.18675,1.19004,1.18393,1.18477,38474,0,0
2020-09-16 00:00:00,1.18477,1.18826,1.17873,1.18157,53079,0,0
2020-09-17 00:00:00,1.18158,1.18547,1.17374,1.18523,59021,0,0
2020-09-18 00:00:00,1.18526,1.18703,1.18258,1.18413,44317,0,0
2020-09-20 00:00:00,1.18455,1.18489,1.18398,1.18482,1530,0,0
2020-09-21 00:00:00,1.18482,1.18717,1.17316,1.17647,54466,0,0
2020-09-22 00:00:00,1.17648,1.17714,1.16916,1.17067,54318,0,0
2020-09-23 00:00:00,1.17068,1.17189,1.16511,1.16618,53464,0,0
2020-09-24 00:00:00,1.16619,1.16868,1.16264,1.16723,54020,0,0
2020-09-25 00:00:00,1.16724,1.16849,1.16122,1.16296,44629,0,0
2020-09-27 00:00:00,1.16222,1.16378,1.16222,1.16326,1385,0,0
2020-09-28 00:00:00,1.16327,1.16799,1.16151,1.16687,38947,0,0
2020-09-29 00:00:00,1.16691,1.17455,1.1665,1.17442,42584,0,0
2020-09-30 00:00:00,1.17447,1.17547,1.16846,1.17309,57868,0,0
2020-10-01 00:00:00,1.17299,1.17694,1.17171,1.17445,57886,0,0
2020-10-02 00:00:00,1.17446,1.17449,1.16957,1.17165,63909,0,0
2020-10-04 00:00:00,1.17131,1.17173,1.17053,1.17148,1549,0,0
2020-10-05 00:00:00,1.17146,1.17974,1.17128,1.17872,41548,0,0
2020-10-06 00:00:00,1.17872,1.18076,1.17301,1.17339,51296,0,0
2020-10-07 00:00:00,1.17338,1.17818,1.17248,1.17683,46120,0,0
2020-10-08 00:00:00,1.17686,1.17816,1.17324,1.17638,39326,0,0
2020-10-09 00:00:00,1.17643,1.18304,1.17576,1.18293,38831,0,0
2020-10-11 00:00:00,1.18173,1.18236,1.18108,1.18163,2301,0,0
2020-10-12 00:00:00,1.18168,1.18265,1.17866,1.18138,33485,0,0
2020-10-13 00:00:00,1.18138,1.18147,1.17305,1.17435,40376,0,0
2020-10-14 00:00:00,1.17435,1.17712,1.17195,1.17426,42520,0,0
2020-10-15 00:00:00,1.17426,1.17576,1.16882,1.17054,46378,0,0
2020-10-16 00:00:00,1.17055,1.1746,1.16939,1.1716,40610,0,0
2020-10-18 00:00:00,1.17195,1.17208,1.17123,1.17128,1284,0,0
2020-10-19 00:00:00,1.17128,1.17936,1.1703,1.17679,38409,0,0
2020-10-20 00:00:00,1.17681,1.18407,1.17598,1.18279,38548,0,0
2020-10-21 00:00:00,1.18281,1.18806,1.1826,1.18595,47541,0,0
2020-10-22 00:00:00,1.18596,1.18667,1.18114,1.18199,41460,0,0
2020-10-23 00:00:00,1.18205,1.18646,1.17867,1.18598,39760,0,0
2020-10-25 00:00:00,1.18551,1.18554,1.18411,1.18417,1631,0,0
2020-10-26 00:00:00,1.18419,1.18504,1.18031,1.18071,40683,0,0
2020-10-27 00:00:00,1.18073,1.18387,1.17696,1.178,38145,0,0
2020-10-28 00:00:00,1.178,1.17879,1.17178,1.17483,47529,0,0
2020-10-29 00:00:00,1.17483,1.17586,1.16499,1.16695,50892,0,0
2020-10-30 00:00:00,1.16695,1.1704,1.16398,1.16462,49666,0,0
2020-11-01 00:00:00,1.16468,1.16495,1.1643,1.16435,430,0,0
2020-11-02 00:00:00,1.16435,1.16556,1.16221,1.16392,42859,0,0
2020-11-03 00:00:00,1.16392,1.17396,1.1637,1.17271,38580,0,0
